"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","X_COORD_CD","Y_COORD_CD","Latitude","Longitude"
"212200405","04/20/2020","19:36:00","BROOKLYN","OUTSIDE","79","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1000301","192923","-73.94211757","40.6961995"
"139554478","11/07/2014","03:20:00","BRONX","INSIDE","42","0","DWELLING","PVT HOUSE","1012185","241494","-73.89905912","40.82948477"
"167619814","08/01/2017","00:35:00","BRONX","OUTSIDE","47","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1030360","261043","-73.83324993","40.88306466"
"212516311","04/29/2020","15:30:00","BRONX","OUTSIDE","46","0","STREET",,"1009085","248078","-73.91023649","40.84756519"
"270150948","06/20/2023","23:41:00","QUEENS","OUTSIDE","108","0","STREET",,"1004925","209948","-73.92539","40.74291942"
"167754133","08/04/2017","00:30:00","BROOKLYN","OUTSIDE","70","0","STREET",,"993205","175595","-73.96773051","40.64864805"
"212640530","05/02/2020","19:50:00","QUEENS","OUTSIDE","114","0","STREET",,"1009645","213978","-73.90834136","40.75396846"
"300261481","01/29/2025","13:30:00","QUEENS","OUTSIDE","114","0","HOUSING","MULTI DWELL - PUBLIC HOUS","1002916","221441","-73.93260812","40.77446923"
"167835442","08/06/2017","04:33:00","MANHATTAN","OUTSIDE","32","0","STREET",,"999981","234730","-73.94317377","40.81094966"
"139601978","11/10/2014","08:33:00","BRONX","OUTSIDE","52","0","STREET",,"1013985","256643","-73.89248769","40.87105839"
"10137422","01/13/2006","18:30:00","STATEN ISLAND","INSIDE","120","0","DWELLING","MULTI DWELL - APT BUILD","940771","167798","-74.15663531","40.62714477"
"10187512","01/22/2006","01:50:00","BRONX","OUTSIDE","47","0","STREET",,"1024649","266580","-73.85386966","40.89828995"
"10333312","02/01/2006","05:05:00","MANHATTAN","OUTSIDE","34","0","STREET","BAR/NIGHT CLUB","1000652","249440","-73.94071384","40.85132317"
"10333322","02/03/2006","05:48:00","MANHATTAN","INSIDE","32","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1001579","240174","-73.93738699","40.82588892"
"10411008","02/10/2006","20:25:00","MANHATTAN","OUTSIDE","32","0","STREET",,"1000078","237692","-73.94281637","40.81907935"
"10411017","02/11/2006","01:22:00","MANHATTAN","OUTSIDE","23","0","STREET",,"998746","229343","-73.94764679","40.79616594"
"10454370","02/17/2006","16:43:00","QUEENS","OUTSIDE","104","0","COMMERCIAL","FACTORY/WAREHOUSE","1005927","202234","-73.92179886","40.72174399"
"10619051","02/21/2006","23:00:00","BROOKLYN","OUTSIDE","71","0","STREET",,"1003224","181035","-73.93160998","40.66356386"
"10619062","02/25/2006","14:40:00","BROOKLYN","OUTSIDE","79","0","STREET","NONE","997831","189816","-73.95103126","40.68767564"
"10619077","03/02/2006","00:00:00","BRONX","INSIDE","52","0","DWELLING","MULTI DWELL - APT BUILD","1010675","253887","-73.90446662","40.86350454"
"10619084","03/04/2006","23:10:00","BROOKLYN","OUTSIDE","83","0","STREET","NONE","1009566","189793","-73.90871747","40.68758672"
"10713411","03/20/2006","11:25:00","BROOKLYN","INSIDE","90","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999631","198004","-73.94452215","40.71014684"
"10764207","03/21/2006","17:40:00","BROOKLYN","OUTSIDE","71","0","DWELLING","MULTI DWELL - APT BUILD","1002159","182377","-73.93544519","40.66724957"
"10804582","03/24/2006","12:51:00","MANHATTAN","OUTSIDE","25","0","STREET",,"1001963","233039","-73.93601832","40.80630458"
"10879212","03/31/2006","17:16:00","BROOKLYN","OUTSIDE","79","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999851","193263","-73.94373959","40.69713353"
"10904917","04/04/2006","04:22:00","MANHATTAN","INSIDE","32","0","COMMERCIAL","DRY CLEANER/LAUNDRY","998721","236169","-73.94772237","40.81490147"
"10904922","04/06/2006","19:52:00","MANHATTAN","OUTSIDE","23","2","HOUSING","MULTI DWELL - PUBLIC HOUS","999452","228508","-73.94509885","40.7938729"
"11118220","04/23/2006","00:08:00","QUEENS","OUTSIDE","115","0","STREET","COMMERCIAL BLDG","1017623","217546","-73.87952809","40.76373519"
"11118221","04/25/2006","01:00:00","BROOKLYN","OUTSIDE","79","0","STREET",,"997529","191797","-73.9521163","40.69311348"
"11118245","05/01/2006","04:33:00","BROOKLYN","OUTSIDE","79","0","TAXI/LIVERY",,"999595","192267","-73.94466507","40.69440019"
"11118847","04/16/2006","23:20:00","BROOKLYN","OUTSIDE","70","0","STREET","BAR/NIGHT CLUB","996544","175090","-73.95569876","40.64725793"
"11118849","04/16/2006","03:35:00","QUEENS","OUTSIDE","103","0","COMMERCIAL","BAR/NIGHT CLUB","1041717","197008","-73.79272673","40.70723982"
"12835945","05/07/2006","11:34:00","BROOKLYN","INSIDE","75","2","HOUSING","MULTI DWELL - PUBLIC HOUS","1012339","182681","-73.89874828","40.66805753"
"12835948","05/07/2006","22:30:00","QUEENS","INSIDE","113","0","DWELLING","PVT HOUSE","1046315","187088","-73.77623391","40.67998074"
"15400539","05/09/2006","23:10:00","BRONX","OUTSIDE","44","0","STREET",,"1010424","246596","-73.90540253","40.84349367"
"15400548","05/10/2006","23:45:00","QUEENS","OUTSIDE","109","0","VEHICLE",,"1028516","225901","-73.84015043","40.78661961"
"15400549","05/11/2006","04:30:00","MANHATTAN","OUTSIDE","10","0","VEHICLE",,"981814","209744","-74.00879236","40.74238332"
"15400552","05/12/2006","21:09:00","BROOKLYN","OUTSIDE","75","0","STREET",,"1014906","179735","-73.88950836","40.65996291"
"16631427","05/17/2006","23:50:00","BRONX","OUTSIDE","46","2","HOUSING","MULTI DWELL - APT BUILD","1006216","247828","-73.92060717","40.84688662"
"16631453","05/22/2006","23:39:00","QUEENS","OUTSIDE","103","0","STREET",,"1043114","194451","-73.78771033","40.70021229"
